tblInstallBase_Ident Item Id,Ident Asset Num,Country,SEN Connectivity,Overall Status,Substatus,Last Pour,Equip Serial Num Upper Case
9313230,10661165,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 20: 27 PM,62A1521KD012
9313229,10661164,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 06 PM,62A1507KD004
9313231,10661166,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 15: 42 PM,62A1507KD001
9295356,10402977,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,05-03-2016 09: 34: 55 PM,62A1521KD004
9295357,10402978,USA,Not Connected,Technical Issues,Remote Troubleshooting / Technical Visit,04-21-2016 07: 39: 22 PM,62A1521KD003
9295355,10402976,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 55 PM,62A1521KD006
9275724,70036139,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211517PT021
9411803,70049491,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 24 PM,6211606PT240
9295354,10402975,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 58: 05 PM,62A1521KD005
9295353,10402974,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 22: 33 PM,62A1521KD009
9295358,10402979,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 53 PM,62A1521KD001
9199203,10559927,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 15: 40 PM,62A1509KD002
9164994,10532434,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 09: 43: 16 PM,62A1449KD005
9210807,10565409,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 06: 10 PM,62A1513KD001
9298806,10667530,USA,Transmitting Data,Connected & Reporting,No Action,06-12-2016 02: 46: 08 PM,62A1521KD011
9385006,70045003,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211513PT018
9416430,70048136,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 17: 40 PM,6211608PT075
9406004,70042035,Canada,Transmitting Data,Connected & Reporting,No Action,06-10-2016 09: 12: 01 PM,6211604PT083
9416432,70048138,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211608PT083
9411788,70049476,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211605PT136
9428713,70048929,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211608PT098
9410480,70047864,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 19: 19 PM,6211603PT078
9415761,70048068,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 59 PM,6211607PT288
9411802,70049490,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 30 PM,6211606PT239
9404892,70047979,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211605PT128
9410492,70047876,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 50 PM,6211607PT282
9408089,7004885,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 44: 44 PM,6211604PT085
9414195,70048916,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 13: 05 PM,6211607PT292
9415758,70048065,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 53 PM,6211607PT285
9408088,7004884,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 08: 03 PM,6211604PT084
9428712,70048928,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211608PT099
9411832,70049451,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 20: 35 PM,6211606PT238
9408085,7004881,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 47: 12 PM,6211604PT081
9414197,70048918,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 10: 59: 38 AM,6211607PT272
9404891,70047978,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 36 PM,6211605PT087
9408087,7004883,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 48: 25 PM,6211604PT086
9408084,7004880,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 21: 16 PM,6211604PT080
9410481,70047865,Canada,Transmitting Data,Connected & Reporting,No Action,06-14-2016 02: 39: 27 PM,6211603PT079
9414196,70048917,Canada,Not Connected,Activation / Installation Issues,Validate Installation SOP,,6211607PT291
9411804,70049492,Canada,Transmitting Data,Connected & Reporting,No Action,06-13-2016 07: 24: 41 PM,6211606PT241
9428715,70048931,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211608PT096
9428714,70048930,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211608PT097
9428711,70048927,Canada,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,MEM to Submit SEN Onboarding Form,,6211608PT100
9168319,10397714,USA,Not Connected,Activation / Installation Issues,Validate Installation SOP,,62A1502KD003
9210806,10565408,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 05: 53 PM,62A1513KD004
9164993,10532433,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 42 PM,62A1451KD001
9313232,10661167,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 09: 31 PM,62A1521KD008
9157364,10495960,USA,Transmitting Data,Connected & Reporting,No Action,06-13-2016 09: 14: 20 PM,62A1449KD002
9167395,10501198,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 32 PM,62A1509KD003
9173007,10501374,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 38 PM,62A1504KD002
9173010,10501377,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 31 PM,62A1504KD005
9173001,10501368,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 53 PM,62A1502KD002
9167394,10501193,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 56 PM,62A1502KD004
9173011,10501378,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 24: 27 PM,62A1502KD006
9173005,10501372,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 26: 57 PM,62A1504KD006
9173009,10501376,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 22 PM,62A1504KD001
9173002,10501369,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 21: 00 PM,62A1504KD004
9173008,10501375,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 14: 24 PM,62A1504KD010
9173003,10501370,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 23: 32 PM,62A1502KD005
9173004,10501371,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 16: 44 PM,62A1504KD003
9173006,10501373,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 27: 19 PM,62A1504KD007
9173000,10501367,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 44 PM,62A1504KD008
9156056,10478442,USA,Transmitting Data,Connected & Reporting,No Action,06-14-2016 03: 18: 00 PM,62A1449KD001
