EQPMT_ID,EVNT_TMSTMP,KFID,COF,IDENT_ITEM_ID,DCC_BUSN_ENTTY_ID,DCC_BUSN_ENTTY_NM,LAT,LNG,ADDR1,CITY,ZIP,COUNTRY,CONNECTIVITY,OVERALL_STATUS,LAST_BEAT,CUSTOMER_NAME,REGION,MARKET_UNIT,LOCATION,EQPMT_SRL_NUM_VAL,EQPMT_UNDI_ID,BUILDING_SUB_LOCATION_DSC,EQPMT_HLTH_RPRT_ID,SYSTEM_POWERONHOURS,SYSTEM_UPTIME,SYSTEM_FANSPEED,SYSTEM_CPUTEMPERATURE,SYSTEM_CPUSERIALNUMBER,SOFTWARE_KIOSKFRAME,SOFTWARE_PLUGINS,SOFTWARE_CREWMODE,VALVECONTROLLER_FIRMWARE,SSD_FREESPACE,SSD_TEMP,SSD_SERIALNUMBER,SSD_MODELNUMBER,RAM_TOTAL,RAM_USAGE,SYSTEM_TEMP,SYSTEM_UNSAFESHUTDOWNCOUNT,ROW_CRT_DTM,ROW_DEL_FLG,ROW_LAST_UPDT_DTM
9548108,2016-06-13 13:05:51.0,9901382,8196683,9183338,35503706,SUBWAY #17084 (SERV.ONLY),43.563960000000002,-80.275981999999999,765 WOOLWICH ST,GUELPH,N1H 3Z2,CANADA,Transmitting Data,Connected & Reporting,06-14-2016 03: 26: 06 PM,1008 PBC PORTLAND OR,CALIFORNIA RGN,N NEW ENGLAND MKT,206,GEGK414006GQ,41713,front,10963541,15030,"0d, 2h, 1m",3361 RPM,67 C,GEGK414006GQ,15030,1.1.1111.447,False,1.7.2.21312,11 GB,49 C,CVLI410401PD030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3911 MB,2379 MB,29 C,24,2016-06-13 10:06:38.0,N,2016-06-13 10:06:38.0
11624959,2016-06-13 13:01:56.0,201196,9760128,9384542,35505512,SUBWAY #21037 (SERV.ONLY),44.574330000000003,-80.920400000000001,1350 16TH ST E,OWEN SOUND,N4K 6N7,U.S.A,Transmitting Data,Connected & Reporting,06-13-2016 09: 15: 42 PM,1012 PBC FAIRBANKS AK,Georgia Mkt,N NEW ENGLAND MKT,116,GEGK53500FZ1,42552,in,10965433,3504,"0d, 8h, 1m",3211 RPM,64 C,GEGK53500FZ1,3504,1.1.1111.447,False,1.7.2.21312,12 GB,44 C,CVLI452100UZ030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3867 MB,2183 MB,29 C,3,2016-06-13 10:09:30.0,N,2016-06-13 10:09:30.0
12509751,2016-06-13 13:01:52.0,202152,3508158,9405352,35506305,SUBWAY #50417 (SERV.ONLY),49.158475000000003,-122.782060999999999,15905 FRASER HWY SUITE 103,SURREY,V4N 0Y3,U.S.A,Transmitting Data,Connected & Reporting,05-03-2016 09: 34: 55 PM,1315 PBC SYRACUSE NY,MOUNTAIN RGN,N NEW ENGLAND MKT,1123,GEGK55000GTM,42795,in1,10964928,2941,"0d, 8h, 1m",3466 RPM,57 C,GEGK55000GTM,2941,1.1.1111.447,False,1.7.2.21312,14 GB,38 C,CVLI539100EL030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3876 MB,2005 MB,29 C,4,2016-06-13 10:07:25.0,N,2016-06-13 10:07:25.0
13101397,2016-06-13 13:01:50.0,202697,9760372,9408735,35507816,SUBWAY #31175 (SERV.ONLY),49.974550999999998,-98.328353000000007,50 24TH ST NW UNIT A,PORTAGE LA PRAIRIE,R1N 3B5,U.S.A,Not Connected,Technical Issues,04-21-2016 07: 39: 22 PM,1047 PBC WILLIAMSPORT PA,MOUNTAIN RGN,N NEW ENGLAND MKT,1123,GEGK55000GPF,43195,inside1,10965210,2605,"0d, 8h, 1m",3451 RPM,67 C,GEGK55000GPF,2605,1.1.1111.447,False,1.7.2.21312,14 GB,40 C,CVLI539100AN030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3718 MB,1927 MB,29 C,3,2016-06-13 10:07:56.0,N,2016-06-13 10:07:56.0
13998205,2016-06-13 13:01:48.0,203261,8730892,9411207,35508304,SUBWAY #07653 (SERV.ONLY),55.169820000000001,-118.795860000000005,10012 99 AVE,GRANDE PRAIRIE,T8V 0R9,CANADA,Not Connected,Technical Issues,06-14-2016 03: 19: 55 PM,1064 PBC ELKINS WV,MOUNTAIN RGN,N NEW ENGLAND MKT,116,GEGK54700178,43740,SPIRE,10963452,2419,"0d, 8h, 1m",3393 RPM,62 C,GEGK54700178,2419,1.1.1111.447,False,1.7.2.21312,15 GB,42 C,CVLI539100E8030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3880 MB,2001 MB,29 C,2,2016-06-13 10:05:12.0,N,2016-06-13 10:05:12.0
6162829,2016-03-16 17:01:14.0,1100902,9913640,9300596,35498439,SUBWAY #35614 (SERV.ONLY),49.854190000000003,-97.164410000000004,1180 TAYLOR AVE,WINNIPEG,R3M 3Z4,CANADA,Transmitting Data,Connected & Reporting,04-21-2016 07: 39: 22 PM,1064 PBC ELKINS WV,MIDWEST RGN,N NEW ENGLAND MKT,116,GEGK52000EOX,39703,inside1,10530705,3588,"2d, 12h, 0m",3385 RPM,63 C,GEGK52000E0X,3588,1.1.212.429,False,1.7.2,11 GB,51 C,CVLI448600VS030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3831 MB,2278 MB,29 C,9,2016-06-07 03:16:43.0,N,2016-06-07 03:16:43.0
9898877,2016-06-13 13:01:49.0,200970,9760851,9384178,35506356,SUBWAY #07962 (SERV.ONLY),51.059429999999999,-114.054379999999995,101-831 EDMONTON TRAIL NE,CALGARY,T2E 3J8,CANADA,Not Connected,MEM Remediation in progress for SEN Connectivity - Canada,06-14-2016 03: 22: 24 PM,1064 PBC ELKINS WV,MIDWEST RGN,N NEW ENGLAND MKT,116,GEGK53500F3J,42247,spire,10965045,3454,"0d, 8h, 1m",3446 RPM,67 C,GEGK53500F3J,3454,1.1.1111.447,False,1.7.2.21312,11 GB,48 C,CVLI448601TC030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3874 MB,2039 MB,29 C,3,2016-06-13 10:07:33.0,N,2016-06-13 10:07:33.0
13989992,2016-06-13 13:02:30.0,202457,9763263,9411206,35508277,SUBWAY #12563 (SERV.ONLY),53.020617000000001,-112.823747999999995,4903 49 ST,CAMROSE,T4V 1N3,CANADA,Transmitting Data,Connected & Reporting,06-14-2016 02: 58: 05 PM,1064 PBC ELKINS WV,MIDWEST RGN,N NEW ENGLAND MKT,116,GEGK547001HC,43742,in1,10965071,2470,"0d, 8h, 2m",3394 RPM,59 C,GEGK547001HC,2470,1.1.1111.447,False,1.7.2.21312,14 GB,42 C,CVLI5391002W030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3881 MB,2132 MB,29 C,4,2016-06-13 10:07:35.0,N,2016-06-13 10:07:35.0
14581340,2016-04-11 03:18:15.0,1102509,9753982,9381875,35506694,SUBWAY #28869 (SERV.ONLY),46.065427999999997,-64.799887999999996,414 COVERDALE RD,RIVERVIEW,E1B 3J9,CANADA,Transmitting Data,Connected & Reporting,06-14-2016 03: 22: 33 PM,1064 PBC ELKINS WV,MIDWEST RGN,N NEW ENGLAND MKT,206,GEGK539009RW,42836,inside1,9229644,1958,"5d, 17h, 0m",3313 RPM,56 C,GEGK539009RW,1958,1.1.212.429,False,1.7.2,14 GB,41 C,CVLI5252009B030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3747 MB,1796 MB,29 C,4,2016-05-19 19:48:38.0,N,2016-05-19 19:48:38.0
7714265,2016-06-13 13:01:05.0,1101932,9760271,9369921,35501937,SUBWAY #47539 (SERV.ONLY),45.417330000000000,-75.702010000000001,407 LAURIER AVE W UNIT 51,OTTAWA,K1R 7Y2,CANADA,Transmitting Data,Connected & Reporting,06-14-2016 03: 09: 53 PM,1008 PBC PORTLAND OR,CALIFORNIA RGN,N NEW ENGLAND MKT,206,GEGK53200DUL,41905,inside1,10963417,4460,"0d, 8h, 0m",3307 RPM,67 C,GEGK53200DUL,4460,1.1.212.429,False,1.7.2,12 GB,48 C,CVLI51330024030H,ATA INTEL SSDMCEAC03 SCSI Disk Device,3762 MB,1903 MB,29 C,3,2016-06-13 10:04:40.0,N,2016-06-13 10:04:40.0
